restaurantName,cuisineType
Skaf's on York',Lebanese'
Pocha LA',Mexican'
Joy',Taiwanese'
Rosty',Peruvian'
Aunt Yvette's Kitchen',Ethiopian'
Mason's Dumpling Shop',Chinese'
Ramen of York',Japanese'
Checker Hall',Mediterranean'
Nativo',Mexican'
TOWN Pizza',Italian'
Belle's Bagels',American'
Donut Friend',American'
Holdaak Fried Chicken',Korean'
The Oinkster',American'
Casa Bianca Pizza Pie',Italian'
Chateau Lemongrass',Vietnamese'
L&L Hawaiian Barbecue',Hawaiian'
Beulah Kitchen',Korean'
Delia's Restaurant',American'
Sushi Ahn',Japanese'
The Bucket',American'
Jack in the Box',American'
McDonald's',American'
Thai Eagle Rox',Thai'
All about Poke',Hawaiian'
Mia Sushi',Japanese'
Sticky Rice',Thai'
Señor Fish',Mexican'
