restaurantName	cuisineType	address	image
Skaf's on York	Lebanese	"4753 York Blvd, Los Angeles, CA 90042"	skafs_on_york.jpg
Pocha LA	Mexican	"6101 York Blvd, Los Angeles, CA 90042"	pocha_la.jpg
Joy	Taiwanese	"5100 York Blvd, Los Angeles, CA 90042"	joy.jpg
Rosty	Peruvian	"5511 N Figueroa St, Los Angeles, CA 90042"	rosty.jpg
Aunt Yvette's Kitchen	Ethiopian	"1743 Colorado Blvd, Los Angeles, CA 90041"	aunt_yvettes.jpg
Mason's Dumpling Shop	Chinese	"5803 N Figueroa St, Los Angeles, CA 90042"	masons_dumpling_shop.jpg
Ramen of York	Japanese	"5051 York Blvd, Los Angeles, CA 90042"	ramen_of_york.jpg
Checker Hall	Mediterranean	"104 N Ave 56, Los Angeles, CA 90042"	checker_hall.jpg
Nativo	Mexican	"5137 York Blvd, Los Angeles, CA 90042"	nativo.jpg
TOWN Pizza	Italian	"5101 York Blvd, Los Angeles, CA 90042"	town_pizza.jpg
Belle's Bagels	American	"5022 York Blvd, Los Angeles, CA 90042"	belles_bagels.jpg
Donut Friend	American	"5107 York Blvd, Los Angeles, CA 90042"	donut_friend.jpg
Holdaak Fried Chicken	Korean	"5054 York Blvd, Los Angeles, CA 90042"	holdaak_fried_chicken.jpg
The Oinkster	American	"2005 Colorado Blvd, Eagle Rock, CA 90041"	the_oinkster.jpg
Casa Bianca Pizza Pie	Italian	"1650 Colorado Blvd, Los Angeles, CA 90041"	casa_bianca_pizza_pie.jpg
Chateau Lemongrass	Vietnamese	"1952 Colorado Blvd, Los Angeles, CA 90041"	chateau_lemongrass.jpg
L&L Hawaiian Barbecue	Hawaiian	"4430 York Blvd B, Eagle Rock, CA 90041"	ll_hawaiian_barbeque.jpg
Beulah Kitchen	Korean	"1229 E Colorado St, Glendale, CA 91205"	beulah_kitchen.jpg
Delia's Restaurant	American	"4501 York Blvd, Los Angeles, CA 90041"	delias_restaurant.jpg
Sushi Ahn	Japanese	"2700 Colorado Blvd #117, Los Angeles, CA 90041"	sushi_ahn.jpg
The Bucket	American	"4541 Eagle Rock Blvd, Los Angeles, CA 90041"	the_bucket.jpg
Jack in the Box	American	"4470 Eagle Rock Blvd, Eagle Rock, CA 90041"	jack_in_the_box.jpg
McDonalds	American	"5725 York Blvd, Highland Park, CA 90042"	mcdonalds.jpg
Thai Eagle Rox	Thai	"4601 York Blvd, Los Angeles, CA 90041"	thai_eagle_rox.jpg
All About Poke	Hawaiian	"1916 Colorado Blvd, Los Angeles, CA 90041"	all_about_poke.jpg
Mia Sushi	Japanese	"4741 N Eagle Rock Blvd, Los Angeles, CA 90041"	mia_sushi.jpg
Sticky Rice	Thai	"5043 York Blvd, Los Angeles, CA 90042"	sticky_rice.jpg
Senor Fish	Mexican	"4803 Eagle Rock Blvd, Los Angeles, CA 90041"	senor_fish.jpg
Oxy MP	College Dining	"1600 Campus Rd, Los Angeles, CA 90041"	oxy_mp.jpg
Oxy Tiger Cooler	College Dining	"1600 Campus Rd, Los Angeles, CA 90041"	oxy_tiger_cooler.jpg
Oxy Green Bean	College Dining	"1600 Campus Rd, Los Angeles, CA 90041"	oxy_green_bean.jpg
